date,open,high,low,close,volume
2021-11-21T16:14.00Z,4359.21,4358.58,4359.22,4358.5,15.07344085
2021-11-21T16:13.00Z,4353.62,4359.22,4359.22,4353.4,26.01434768
2021-11-21T16:12.00Z,4355.88,4353.62,4356.26,4353.61,21.93529634
2021-11-21T16:11.00Z,4353.77,4355.78,4355.78,4353.15,30.48702944
2021-11-21T16:10.00Z,4351.51,4353.78,4353.86,4351.5,13.37564883
2021-11-21T16:09.00Z,4352.22,4351.51,4354.09,4351.09,15.92329128
2021-11-21T16:08.00Z,4350.82,4352.23,4352.28,4350.42,9.89099406
2021-11-21T16:07.00Z,4354.95,4350.82,4354.96,4350.44,41.51949081
2021-11-21T16:06.00Z,4354.1,4354.96,4356.18,4354.09,12.11592068
2021-11-21T16:05.00Z,4356.55,4354.1,4357.16,4354.09,15.25056585
2021-11-21T16:04.00Z,4356.02,4356.54,4356.94,4355.02,14.18570221
2021-11-21T16:03.00Z,4357.08,4356.01,4357.51,4356,21.48213666
2021-11-21T16:02.00Z,4356.25,4358.11,4358.6,4356.01,33.60402706
2021-11-21T16:01.00Z,4361.45,4356.26,4361.45,4356.26,26.96885705
2021-11-21T16:00.00Z,4362.71,4361.45,4367.28,4361.45,32.68762898
2021-11-21T15:59.00Z,4366.29,4362.8,4366.95,4361.82,17.74890083
2021-11-21T15:58.00Z,4363.75,4365.97,4367.89,4363.75,15.57152063
2021-11-21T15:57.00Z,4365.69,4363.76,4365.69,4362.19,44.75690991
2021-11-21T15:56.00Z,4366.7,4365.04,4369.95,4365.04,64.74346423
2021-11-21T15:55.00Z,4364.68,4366.71,4367.74,4363.72,21.23187658
2021-11-21T15:54.00Z,4368.64,4364.68,4369.4,4363.82,26.47519035
2021-11-21T15:53.00Z,4367.39,4368.63,4373,4367.38,40.61021004
2021-11-21T15:52.00Z,4372.38,4367.38,4372.39,4367.37,17.78095092
2021-11-21T15:51.00Z,4371.44,4372.38,4373.33,4371.43,15.12581435
2021-11-21T15:50.00Z,4370.62,4371.44,4374.09,4370.62,12.20232854
2021-11-21T15:49.00Z,4366.91,4370.62,4370.67,4366.91,39.72984026
2021-11-21T15:48.00Z,4367.61,4366.92,4368.26,4366.48,13.31488575
2021-11-21T15:47.00Z,4369.24,4367.32,4369.82,4366.49,17.25620035
2021-11-21T15:46.00Z,4369.79,4369.24,4371.05,4368.99,19.84315833
2021-11-21T15:45.00Z,4376.08,4369.8,4376.08,4369.8,46.45154536
2021-11-21T15:44.00Z,4376.3,4376.07,4377.15,4374.65,19.64820213
2021-11-21T15:43.00Z,4375.49,4376.3,4377.15,4375.4,14.11607957
2021-11-21T15:42.00Z,4376.02,4375.49,4377.66,4374.02,28.54694014
2021-11-21T15:41.00Z,4374.26,4376.45,4378.02,4374.24,21.93515495
2021-11-21T15:40.00Z,4371.48,4374.19,4375.13,4369.87,54.73912549
2021-11-21T15:39.00Z,4372.22,4371.49,4372.72,4371.49,16.42643797
2021-11-21T15:38.00Z,4373.23,4372.22,4373.23,4372.09,18.26861712
2021-11-21T15:37.00Z,4373.61,4373.69,4375.15,4373.18,17.13517937
2021-11-21T15:36.00Z,4374.81,4373.61,4375.98,4373.58,24.64873695
2021-11-21T15:35.00Z,4378.49,4374.8,4379.81,4374.8,16.62638317
2021-11-21T15:34.00Z,4378.71,4378.48,4380.14,4377.46,69.35288878
2021-11-21T15:33.00Z,4384.02,4378.7,4384.37,4378.7,18.24312827
2021-11-21T15:32.00Z,4380.07,4384.02,4384.92,4380.06,9.09557887
2021-11-21T15:31.00Z,4383.02,4380.07,4383.03,4377.94,59.22619323
2021-11-21T15:30.00Z,4383.57,4383.03,4384.5,4382.6,20.50241665
2021-11-21T15:29.00Z,4381.85,4383.57,4384,4381.85,35.7284697
2021-11-21T15:28.00Z,4382.4,4381.85,4383.09,4381.46,18.53815322
2021-11-21T15:27.00Z,4378.38,4382.59,4383.1,4378.38,14.46973571
2021-11-21T15:26.00Z,4382.17,4377.74,4382.2,4377.05,19.54466132
2021-11-21T15:25.00Z,4379.89,4382.17,4383.62,4379.24,33.93269532
2021-11-21T15:24.00Z,4372.72,4380.22,4380.23,4372.71,33.03806566
2021-11-21T15:23.00Z,4376.3,4372.72,4376.3,4371.89,28.7232553
2021-11-21T15:22.00Z,4376.19,4376.29,4377.25,4376.18,16.44074534
2021-11-21T15:21.00Z,4375.32,4376.2,4376.72,4375.32,34.85484576
2021-11-21T15:20.00Z,4374.24,4375.32,4377.14,4373.25,66.87249915
2021-11-21T15:19.00Z,4378.35,4374.28,4379.6,4373.7,27.54645238
2021-11-21T15:18.00Z,4376.99,4377.73,4377.73,4375.17,36.65895863
2021-11-21T15:17.00Z,4375.79,4376.99,4377,4375.72,21.87767273
2021-11-21T15:16.00Z,4375.79,4375.8,4377.66,4375.78,17.9068014
2021-11-21T15:15.00Z,4371.99,4375.79,4377.73,4371.99,22.72419793
2021-11-21T15:14.00Z,4369.01,4371.99,4372,4366.41,15.69956549
2021-11-21T15:13.00Z,4371.35,4369.01,4371.36,4368.56,39.51807803
2021-11-21T15:12.00Z,4372.08,4371.35,4372.08,4370.22,18.12992447
2021-11-21T15:11.00Z,4371.94,4372.07,4372.08,4370.95,21.83689337
2021-11-21T15:10.00Z,4376.45,4371.94,4376.45,4371.87,27.95913767
2021-11-21T15:09.00Z,4378.51,4376.45,4378.53,4374.77,25.97998577
2021-11-21T15:08.00Z,4377.51,4378.52,4378.83,4377.07,42.54144341
2021-11-21T15:07.00Z,4378.82,4377.5,4378.82,4377.11,29.96476873
2021-11-21T15:06.00Z,4376.35,4378.83,4379.88,4376.35,65.37994824
2021-11-21T15:05.00Z,4375.5,4376.34,4376.47,4375,19.74423229
2021-11-21T15:04.00Z,4375.04,4375.47,4377.18,4375,54.4094795
2021-11-21T15:03.00Z,4379.37,4375.04,4380.51,4375.03,37.99667295
2021-11-21T15:02.00Z,4384.26,4379.37,4385.44,4379.37,66.22205349
2021-11-21T15:01.00Z,4386.6,4384.27,4386.6,4383.42,41.38328829
2021-11-21T15:00.00Z,4383.45,4386.62,4387.93,4383.45,36.54068805
2021-11-21T14:59.00Z,4388.06,4383.44,4388.06,4383.44,27.78379987
2021-11-21T14:58.00Z,4388.05,4388.05,4388.07,4384.99,47.77944854
2021-11-21T14:57.00Z,4381.96,4388.05,4388.06,4381.96,29.46344153
2021-11-21T14:56.00Z,4379.36,4381.96,4381.96,4379.35,26.65036158
2021-11-21T14:55.00Z,4379.64,4379.36,4379.64,4376.64,17.41452536
2021-11-21T14:54.00Z,4380.62,4379.63,4380.86,4377.81,50.68111351
2021-11-21T14:53.00Z,4376.21,4380.61,4380.64,4374.46,29.03887696
2021-11-21T14:52.00Z,4374.9,4376.21,4377.12,4374.89,26.51819754
2021-11-21T14:51.00Z,4372.67,4374.9,4376.2,4372.44,16.17976357
2021-11-21T14:50.00Z,4369.42,4372.67,4373.47,4369.42,9.96463714
2021-11-21T14:49.00Z,4369.3,4369.41,4370.26,4367.58,34.1235307
2021-11-21T14:48.00Z,4370.9,4369.29,4371.85,4369.29,8.63221519
2021-11-21T14:47.00Z,4372.84,4370.9,4372.84,4370.01,27.45410211
2021-11-21T14:46.00Z,4369.07,4372.57,4372.57,4369.07,16.57828141
2021-11-21T14:45.00Z,4371.49,4369.08,4371.5,4368.67,13.78191238
2021-11-21T14:44.00Z,4373.4,4371.5,4374.78,4367.32,61.68869301
2021-11-21T14:43.00Z,4370.32,4373.4,4374.41,4370.17,29.97776059
2021-11-21T14:42.00Z,4371.15,4370.31,4371.15,4368.26,18.86023192
