date,open,high,low,close,volume
1636757760,88200,88200,88200,88200,0
1636757700,88200,88200,88200,88200,0
1636757640,88200,88200,88200,88200,0
1636757580,88200,88200,88200,88200,0
1636757520,88200,88200,88200,88200,0
1636757460,88200,88200,88200,88200,0
1636757400,88200,88200,88200,88200,0
1636757340,88200,88200,88200,88200,0
1636757280,88200,88200,88200,88200,0
1636757220,88200,88200,88200,88200,0
1636757160,88200,88200,88200,88200,0
1636757100,88200,88200,88200,88200,0
1636757040,88200,88200,88200,88200,0
1636756980,88200,88200,88200,88200,0
1636756920,88200,88200,88200,88200,0
1636756860,88200,88200,88200,88200,0
1636756800,88200,88200,88200,88200,0
1636756740,88200,88200,88200,88200,0
1636756680,88200,88200,88200,88200,0
1636756620,88200,88200,88200,88200,0
1636756560,88200,88200,88200,88200,0
1636756500,88200,88200,88200,88200,0
1636756440,88200,88200,88200,88200,0
1636756380,88200,88200,88200,88200,0
1636756320,88200,88200,88200,88200,0
1636756260,88200,88200,88200,88200,0
1636756200,88200,88200,88200,88200,0
1636756140,88200,88200,88200,88200,0
1636756080,88200,88200,88200,88200,0
1636756020,88200,88200,88200,88200,0
1636755960,88200,88200,88200,88200,0
1636755900,88200,88200,88200,88200,0
1636755840,88200,88200,88200,88200,0
1636755780,88200,88200,88200,88200,0
1636755720,88200,88200,88200,88200,0
1636755660,88200,88200,88200,88200,0
1636755600,88200,88200,88200,88200,0
1636755540,88200,88200,88200,88200,0
1636755480,88200,88200,88200,88200,0
1636755420,88200,88200,88200,88200,0
1636755360,88200,88200,88200,88200,0
1636755300,88200,88200,88200,88200,0
1636755240,88200,88200,88200,88200,0
1636755180,88200,88200,88200,88200,0
1636755120,88200,88200,88200,88200,0
1636755060,88200,88200,88200,88200,0
1636755000,88200,88200,88200,88200,0
1636754940,88200,88200,88200,88200,0
1636754880,88200,88200,88200,88200,0
1636754820,88200,88200,88200,88200,0
1636754760,88200,88200,88200,88200,0
1636754700,88200,88200,88200,88200,0
1636754640,88200,88200,88200,88200,0
1636754580,88200,88200,88200,88200,0
1636754520,88200,88200,88200,88200,0
1636754460,88200,88200,88200,88200,0
1636754400,88200,88200,88200,88200,0
1636754340,88200,88200,88200,88200,0
1636754280,88200,88200,88200,88200,0
1636754220,88200,88200,88200,88200,0
1636754160,88200,88200,88200,88200,0
1636754100,88200,88200,88200,88200,0
1636754040,88200,88200,88200,88200,0
1636753980,88200,88200,88200,88200,0
1636753920,88200,88200,88200,88200,0
1636753860,88200,88200,88200,88200,0
1636753800,88200,88200,88200,88200,0
1636753740,88200,88200,88200,88200,0
1636753680,88200,88200,88200,88200,0
1636753620,88200,88200,88200,88200,0
1636753560,88200,88200,88200,88200,0
1636753500,88200,88200,88200,88200,0
1636753440,88200,88200,88200,88200,0
1636753380,88200,88200,88200,88200,0
1636753320,88200,88200,88200,88200,0
1636753260,88200,88200,88200,88200,0
1636753200,88200,88200,88200,88200,0
1636753140,88200,88200,88200,88200,0
1636753080,88200,88200,88200,88200,0
1636753020,88200,88200,88200,88200,0
1636752960,88200,88200,88200,88200,0
1636752900,88200,88200,88200,88200,0
1636752840,88200,88200,88200,88200,0
1636752780,88200,88200,88200,88200,0
1636752720,88200,88200,88200,88200,0
1636752660,88200,88200,88200,88200,0
1636752600,88200,88200,88200,88200,0
1636752540,88200,88200,88200,88200,0
1636752480,88200,88200,88200,88200,0
1636752420,88200,88200,88200,88200,0
1636752360,88200,88200,88200,88200,0
1636752300,88200,88200,88200,88200,0
1636752240,88200,88200,88200,88200,0
1636752180,88200,88200,88200,88200,0
1636752120,88200,88200,88200,88200,0
1636752060,88200,88200,88200,88200,0
1636752000,88200,88200,88200,88200,0
1636751940,88200,88200,88200,88200,0
1636751880,88200,88200,88200,88200,0
1636751820,88200,88200,88200,88200,0
1636751760,88200,88200,88200,88200,0
1636751700,88200,88200,88200,88200,0
1636751640,88200,88200,88200,88200,0
1636751580,88200,88200,88200,88200,0
1636751520,88200,88200,88200,88200,0
1636751460,88200,88200,88200,88200,0
1636751400,88200,88200,88200,88200,0
1636751340,88200,88200,88200,88200,0
1636751280,88200,88200,88200,88200,0
1636751220,88200,88200,88200,88200,0
1636751160,88200,88200,88200,88200,0
1636751100,88200,88200,88200,88200,0
1636751040,88200,88200,88200,88200,0
1636750980,88200,88200,88200,88200,0
1636750920,88200,88200,88200,88200,0
1636750860,88200,88200,88200,88200,0
1636750800,88200,88200,88200,88200,0
1636750740,88200,88200,88200,88200,0
1636750680,88200,88200,88200,88200,0
1636750620,88200,88200,88200,88200,0
1636750560,88200,88200,88200,88200,0
1636750500,88200,88200,88200,88200,0
1636750440,88200,88200,88200,88200,0
1636750380,88200,88200,88200,88200,0
1636750320,88200,88200,88200,88200,0
1636750260,88200,88200,88200,88200,0
1636750200,88200,88200,88200,88200,0
1636750140,88200,88200,88200,88200,0
1636750080,88200,88200,88200,88200,0
1636750020,88200,88200,88200,88200,0
1636749960,88200,88200,88200,88200,0
1636749900,88200,88200,88200,88200,0
1636749840,88200,88200,88200,88200,0
1636749780,88200,88200,88200,88200,0
1636749720,88200,88200,88200,88200,0
1636749660,88200,88200,88200,88200,0
1636749600,88200,88200,88200,88200,0
1636749540,88200,88200,88200,88200,0
1636749480,88200,88200,88200,88200,0
1636749420,88200,88200,88200,88200,0
1636749360,88200,88200,88200,88200,0
1636749300,88200,88200,88200,88200,0
1636749240,88200,88200,88200,88200,0
1636749180,88200,88200,88200,88200,0
1636749120,88200,88200,88200,88200,0
1636749060,88200,88200,88200,88200,0
1636749000,88200,88200,88200,88200,0
1636748940,88200,88200,88200,88200,0
1636748880,88200,88200,88200,88200,0
1636748820,88200,88200,88200,88200,0
1636748760,88200,88200,88200,88200,0
1636748700,88200,88200,88200,88200,0
1636748640,88200,88200,88200,88200,0
1636748580,88200,88200,88200,88200,0
1636748520,88200,88200,88200,88200,0
1636748460,88200,88200,88200,88200,0
1636748400,88200,88200,88200,88200,0
1636748340,88200,88200,88200,88200,0
1636748280,88200,88200,88200,88200,0
1636748220,88200,88200,88200,88200,0
1636748160,88200,88200,88200,88200,0
1636748100,88200,88200,88200,88200,0
1636748040,88200,88200,88200,88200,0
1636747980,88200,88200,88200,88200,0
1636747920,88200,88200,88200,88200,0
1636747860,88200,88200,88200,88200,0
1636747800,88200,88200,88200,88200,0
1636747740,88200,88200,88200,88200,0
1636747680,88200,88200,88200,88200,0
1636747620,88200,88200,88200,88200,0
1636747560,88200,88200,88200,88200,0
1636747500,88200,88200,88200,88200,0
1636747440,88200,88200,88200,88200,0
1636747380,88200,88200,88200,88200,0
1636747320,88200,88200,88200,88200,0
1636747260,88200,88200,88200,88200,0
1636747200,88200,88200,88200,88200,0
1636747140,88200,88200,88200,88200,0
1636747080,88200,88200,88200,88200,0
1636747020,88200,88200,88200,88200,0
1636746960,88200,88200,88200,88200,0
1636746900,88200,88200,88200,88200,0
1636746840,88200,88200,88200,88200,0
1636746780,88200,88200,88200,88200,0
1636746720,88200,88200,88200,88200,0
1636746660,88200,88200,88200,88200,0
1636746600,88200,88200,88200,88200,0
1636746540,88200,88200,88200,88200,0
1636746480,88200,88200,88200,88200,0
1636746420,88200,88200,88200,88200,0
1636746360,88200,88200,88200,88200,0
1636746300,88200,88200,88200,88200,0
1636746240,88200,88200,88200,88200,0
1636746180,88200,88200,88200,88200,0
1636746120,88200,88200,88200,88200,0
1636746060,88200,88200,88200,88200,0
1636746000,88200,88200,88200,88200,0
1636745940,88200,88200,88200,88200,0
1636745880,88200,88200,88200,88200,0
1636745820,88200,88200,88200,88200,0
1636745760,88200,88200,88200,88200,0
1636745700,88200,88200,88200,88200,0
1636745640,88200,88200,88200,88200,0
1636745580,88200,88200,88200,88200,0
1636745520,88200,88200,88200,88200,0
1636745460,88200,88200,88200,88200,0
1636745400,88200,88200,88200,88200,0
1636745340,88200,88200,88200,88200,0
1636745280,88200,88200,88200,88200,0
1636745220,88200,88200,88200,88200,0
1636745160,88200,88200,88200,88200,0
1636745100,88200,88200,88200,88200,0
1636745040,88200,88200,88200,88200,0
1636744980,88200,88200,88200,88200,0
1636744920,88200,88200,88200,88200,0
1636744860,88200,88200,88200,88200,0
1636744800,88200,88200,88200,88200,0
1636744740,88200,88200,88200,88200,0
1636744680,88200,88200,88200,88200,0
1636744620,88200,88200,88200,88200,0
1636744560,88200,88200,88200,88200,0
1636744500,88200,88200,88200,88200,0
1636744440,88200,88200,88200,88200,0
1636744380,88200,88200,88200,88200,0
1636744320,88200,88200,88200,88200,0
1636744260,88200,88200,88200,88200,0
